,adr_address,name,price_level,rating,serves_breakfast,serves_dinner,takeout,types,serves_lunch
4,"<span class=""street-address"">6930 S Emerson Ave</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46237</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,True,True,True,establishment,
0,"<span class=""street-address"">1993 N State St</span>, <span class=""locality"">Greenfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46140</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,False,True,True,bar,
1,"<span class=""street-address"">1993 N State St</span>, <span class=""locality"">Greenfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46140</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,False,True,True,restaurant,
2,"<span class=""street-address"">1993 N State St</span>, <span class=""locality"">Greenfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46140</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,False,True,True,food,
3,"<span class=""street-address"">1993 N State St</span>, <span class=""locality"">Greenfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46140</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,False,True,True,point_of_interest,
4,"<span class=""street-address"">1993 N State St</span>, <span class=""locality"">Greenfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46140</span>, <span class=""country-name"">USA</span>",O'Charley's Restaurant & Bar,2.0,4.1,False,True,True,establishment,
0,"<span class=""street-address"">10150 Brooks School Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",El Lago Mexican Restaurant,2.0,4.4,,True,True,restaurant,
1,"<span class=""street-address"">10150 Brooks School Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",El Lago Mexican Restaurant,2.0,4.4,,True,True,food,
2,"<span class=""street-address"">10150 Brooks School Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",El Lago Mexican Restaurant,2.0,4.4,,True,True,point_of_interest,
3,"<span class=""street-address"">10150 Brooks School Rd</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",El Lago Mexican Restaurant,2.0,4.4,,True,True,establishment,
0,"<span class=""street-address"">50 IN-135 Suite A</span>, <span class=""locality"">Bargersville</span>, <span class=""region"">IN</span> <span class=""postal-code"">46106</span>, <span class=""country-name"">USA</span>",La Rosa Mexican Restaurant,1.0,4.6,,True,True,restaurant,
1,"<span class=""street-address"">50 IN-135 Suite A</span>, <span class=""locality"">Bargersville</span>, <span class=""region"">IN</span> <span class=""postal-code"">46106</span>, <span class=""country-name"">USA</span>",La Rosa Mexican Restaurant,1.0,4.6,,True,True,food,
2,"<span class=""street-address"">50 IN-135 Suite A</span>, <span class=""locality"">Bargersville</span>, <span class=""region"">IN</span> <span class=""postal-code"">46106</span>, <span class=""country-name"">USA</span>",La Rosa Mexican Restaurant,1.0,4.6,,True,True,point_of_interest,
3,"<span class=""street-address"">50 IN-135 Suite A</span>, <span class=""locality"">Bargersville</span>, <span class=""region"">IN</span> <span class=""postal-code"">46106</span>, <span class=""country-name"">USA</span>",La Rosa Mexican Restaurant,1.0,4.6,,True,True,establishment,
